,open,high,low,close,volume,symbol,timeframe,ema_9,sma_14,rsi_14,macd_line,macd_signal,macd_hist,bollinger_upper,bollinger_middle,bollinger_lower,atr_14,pct_change,log_return
2024-12-30,220.06,222.9972,218.43,221.3,28321240,AMZN,daily,224.72098543245346,226.48214285714286,44.45986583391165,4.527713507663037,5.883308682399755,-1.3555951747367176,235.66862717523998,224.33649999999997,213.00437282475997,5.334878571428569,-1.0949720670391017,-0.011010110097960732
2024-12-31,222.965,223.2299,218.94,219.39,24819655,AMZN,daily,223.6547883459628,226.07857142857142,43.59265139487412,3.7952186337603564,5.465690672671875,-1.6704720389115186,234.44956579876725,224.7705,215.09143420123274,5.294171428571425,-0.8630817894261344,-0.008668279106034621
2025-01-02,222.03,225.15,218.19,220.22,33956579,AMZN,daily,222.96783067677026,225.36142857142858,37.35516372795971,3.244287109947578,5.021409960127016,-1.7771228501794383,233.50785691950472,225.10950000000003,216.71114308049533,5.351314285714283,0.3783217101964498,0.003776078734475515
2025-01-03,222.505,225.36,221.62,224.19,27515606,AMZN,daily,223.2122645414162,225.01999999999998,44.36054742803209,3.092368826505151,4.635601733402644,-1.5432329068974928,233.16729835749953,225.411,217.65470164250047,5.471314285714284,1.802742711833627,0.017866859924863424
2025-01-06,226.78,228.835,224.84,227.61,31849831,AMZN,daily,224.09181163313298,225.03071428571428,50.169338451117646,3.210924372793727,4.35066626128086,-1.1397418884871335,233.22583101559442,225.76399999999998,218.30216898440554,5.493157142857143,1.525491770373355,0.015139731407784835
2025-01-07,227.9,228.381,221.46,222.11,28084164,AMZN,daily,223.6954493065064,224.25785714285715,37.79332129963901,2.8284716028170465,4.046227329588097,-1.2177557267710508,233.1270461398206,225.51800000000003,217.90895386017945,5.5918,-2.4164140415623203,-0.024460883367675646
2025-01-08,223.185,223.52,220.2,222.13,25033292,AMZN,daily,223.3823594452051,223.61357142857142,39.4031954887218,2.498191266193544,3.7366201169091866,-1.2384288507156427,233.07113981431613,225.32000000000002,217.56886018568392,5.4660857142857155,0.00900454729637623,9.004141911351375e-05
2025-01-10,221.46,221.71,216.5,218.94,36811525,AMZN,daily,222.4938875561641,223.50071428571428,47.750569476081985,1.956482270078908,3.380592547543131,-1.424110277464223,233.2758308490014,225.01500000000001,216.75416915099862,5.061807142857144,-1.4360959798316308,-0.014465076393119836
2025-01-13,218.06,219.4,216.47,218.46,27262655,AMZN,daily,221.6871100449313,223.15571428571428,42.6439232409382,1.4714796973956084,2.9987699775136263,-1.527290280118018,232.7933904004749,224.425,216.05660959952513,4.873235714285717,-0.21923814743765035,-0.002194788261014159
2025-01-14,220.44,221.82,216.2,217.76,24711650,AMZN,daily,220.90168803594506,222.6442857142857,38.77742946708466,1.0188824715338285,2.6027924763176666,-1.5839100047838381,232.4499748205769,223.8645,215.2790251794231,4.740378571428573,-0.3204247917238945,-0.0032093925122412274
