Date,Mean_Price,Median_Price,Std_Dev,CI_Lower,CI_Upper,Up_Votes,Down_Votes,Same_Votes,Total_Votes,Direction,Confidence,Pct_Change,Cumulative_Return,Signal
2025-03-25 20:40:00,223.2925809131375,223.87271508800814,1.7181271582560471,219.92505168295565,226.66011014331934,3.0,1.0,0.0,4.0,UP,0.75,-4.752729215962148e-06,-0.0020443311144693332,BUY
2025-03-25 20:45:00,223.31909682244645,223.87289561541775,1.6699822156694029,220.04593167973442,226.59226196515849,3.0,1.0,0.0,4.0,UP,0.75,0.00011874962079128082,-0.0019258242572225415,BUY
2025-03-25 20:50:00,223.31504193643238,223.8730857893301,1.6812018263429445,220.0198863568002,226.61019751606455,3.0,1.0,0.0,4.0,UP,0.75,-1.8157363484649913e-05,-0.0019439466528161642,BUY
2025-03-25 20:55:00,223.32528166030417,223.872804662677,1.6626219592311624,220.0665426202111,226.58402070039725,3.0,1.0,0.0,4.0,UP,0.75,4.585326533756984e-05,-0.0018981825237802674,BUY
2025-03-25 21:00:00,223.22929359675558,223.87060078130432,1.8393606803187528,219.62414666333083,226.83444053018033,2.0,1.0,0.0,3.0,UP,0.6666666666666666,-0.00042981279519704874,-0.002327179455840933,BUY
2025-03-25 21:05:00,223.09585805451323,223.8708860421729,2.066453970038349,219.04560827323806,227.1461078357884,2.0,1.0,0.0,3.0,UP,0.6666666666666666,-0.0005977510392672913,-0.002923539421169963,BUY
2025-03-25 21:10:00,223.14042538313268,223.871078972229,1.9912569981494332,219.2375616667598,227.04328909950556,2.0,1.0,0.0,3.0,UP,0.6666666666666666,0.00019976762010776028,-0.002724355829574643,BUY
2025-03-25 21:15:00,223.13627466610765,223.87121264519644,1.9986345331510802,219.21895098113154,227.05359835108376,2.0,1.0,0.0,3.0,UP,0.6666666666666666,-1.860136735820639e-05,-0.00274290652018927,BUY
2025-03-25 21:20:00,223.12326269010978,223.871304976009,2.0209403024612542,219.16221969728574,227.08430568293383,2.0,1.0,0.0,3.0,UP,0.6666666666666666,-5.831403261236101e-05,-0.0028010606028613383,BUY
2025-03-25 21:25:00,223.11847603592105,223.8713725015286,2.02921307067894,219.14121841739032,227.09573365445178,2.0,1.0,0.0,3.0,UP,0.6666666666666666,-2.1452958920642473e-05,-0.0028224534707439464,BUY
